,Day,Freq,Flux,Error,Unnamed: 4
0,10.34,5.1,0.04,0.02,non-detection
1,13.28,5.1,0.3,0.02,flux from the deepclean image
2,15.36,5.1,0.92,0.02,flux from the deepclean image
3,31.19,5.1,1.91,0.01,
4,44.34,5.1,1.33,0.03,flux from the deepclean image
5,74.21,5.1,0.48,0.02,flux from the deepclean image
6,83.19,5.1,0.43,0.03,flux from the deepclean image
7,91.15,5.1,0.32,0.02,flux from the deepclean image
8,142.99,5.1,0.1,0.02,flux from the deepclean image
9,315.61,5.1,0.03,0.03,non-detection
10,409.3,5.1,0.02,0.02,non-detection
